192101	230.0
192102	230.0
192103	230.0
192104	230.0
192105	230.0
192106	230.0
192107	250.0
192108	180.0
192109	270.0
192110	250.0
192111	230.0
192112	230.0
192201	140.0
192202	180.0
192203	270.0
192204	180.0
192205	230.0
192206	200.0
192207	200.0
192208	200.0
192209	230.0
192210	270.0
192211	230.0
192212	230.0
192301	200.0
192302	180.0
192303	230.0
192304	230.0
192305	200.0
192306	230.0
192307	230.0
192308	200.0
192309	230.0
192310	200.0
192311	180.0
192312	180.0
192401	180.0
192402	200.0
192403	200.0
192404	200.0
192405	230.0
192406	230.0
192407	230.0
192408	200.0
192409	230.0
192410	200.0
192411	270.0
192412	230.0
192501	250.0
192502	200.0
192503	200.0
192504	200.0
192505	200.0
192506	200.0
192507	200.0
192508	200.0
192509	200.0
192510	270.0
192511	250.0
192512	200.0
192601	180.0
192602	180.0
192603	250.0
192604	230.0
192605	140.0
192606	230.0
192607	230.0
192608	230.0
192609	230.0
192610	270.0
192611	200.0
192612	250.0
192701	250.0
192702	200.0
192706	290.0
192707	290.0
192708	270.0
192709	250.0
192710	230.0
192711	230.0
192712	140.0
192801	180.0
192802	180.0
192806	290.0
192807	280.0
192808	290.0
192809	290.0
192810	200.0
192811	290.0
192812	230.0
192901	160.0
192902	160.0
192903	290.0
192908	230.0
192909	230.0
192910	230.0
192911	180.0
192912	180.0
193001	180.0
193002	200.0
193003	200.0
193004	180.0
193005	270.0
193006	200.0
193007	190.0
193008	200.0
193009	235.0
193010	200.0
193011	250.0
193012	160.0
